01625440101;"п Масальский"
01625449101;"с Николаевка"
01625456101;"с Новенькое"
01625459101;"с Советский Путь"
01625466101;"с Покровка"
01625473101;"п Ремовский"
01625476101;"с Самарка"
01625484101;"с Успенка"
01625495101;"с Устьянка"
01626406101;"с Буканское"
01626412101;"с Гришенское"
01626424101;"с Кадниково"
01626429101;"п Комсомольский"
01626434101;"с Корчино"
01626437101;"с Костин Лог"
01626442101;"с Крестьянка"
01626449101;"с Мамонтово"
01626460101;"с Островное"
01626468101;"с Покровка"
01626473101;"с Суслово"
01626478101;"п Первомайский"
01626492101;"с Чёрная Курья"
01627154051;"рп Малиновое Озеро"
01627405101;"с Ащегуль"
01627411101;"с Бастан"
01627416101;"с Михайловское"
01627420101;"с Назаровка"
01627422101;"с Николаевка"
01627433101;"с Полуямки"
01627444101;"с Ракиты"
01628411101;"с Долгово"
01628422101;"с Лобаниха"
01628433101;"с Мельниково"
01628444101;"с Новичиха"
01628455101;"с Поломошное"
01628466101;"с Солоновка"
01628477101;"с Токарёво"
01629412101;"с Буланиха"
01629426101;"с Зональное"
01629442101;"с Луговское"
01629466101;"с Новая Чемровка"
01629470101;"п Октябрьский"
01629474101;"с Плешково"
01629480101;"с Соколово"
01629493101;"п Мирный"
01629496101;"с Шубенка"
01630401101;"ст Арбузовка"
01630403101;"п Бурановка"
01630412101;"с Елунино"
01630432101;"с Колыванское"
01630437101;"п Комсомольский"
01630449101;"с Лебяжье"
01630455101;"п Новые Зори"
01630460101;"с Павловск"
01630462101;"п Сибирские Огни"
01630464101;"п Прутской"
01630466101;"с Рогозиха"
01630473101;"с Стуково"
01630482101;"с Черёмное"
01630485101;"с Чернопятово"
01630490101;"с Шахи"
01631411101;"с Велижанка"
01631417101;"п Берёзовский"
01631422101;"с Зятьково"
01631433101;"с Кривое"
01631444101;"с Луковка"
01631456101;"с Панкрушиха"
01631467101;"с Подойниково"
01631478101;"с Романово"
01631489101;"с Урываево"
01632406101;"с Акулово"
01632412101;"с Баюновские Ключи"
01632416101;"с Берёзовка"
01632420101;"с Бобровка"
01632422101;"с Боровиха"
01632425101;"с Жилино"
01632430101;"с Журавлиха"
01632434101;"с Зудилово"
01632442101;"с Логовское"
01632445101;"с Новоберёзовка"
01632449101;"с Первомайское"
01632454101;"с Повалиха"
01632461101;"с Рассказиха"
01632472101;"с Санниково"
01632483101;"п Северный"
01632494101;"п Сибирский"
01632496101;"с Солнечное"
01632497101;"с Сорочий Лог"
01633405101;"с Алексеевка"
01633407101;"с Антоньевка"
01633414101;"с Зелёный Дол"
01633423101;"с Камышенка"
01633434101;"с Николаевка"
01633440101;"с Новообинка"
01633446101;"с Паутово"
01633457101;"с Петропавловское"
01633479101;"с Соловьиха"
01634408101;"п Хлебороб"
01634422101;"п 12 лет Октября"
01634433101;"с Калмыцкие Мысы"
01634439101;"с Клепечиха"
01634445101;"п Факел Социализма"
01634450101;"с Красноярское"
01634467101;"п им Мамонтова"
01634478101;"с Николаевка"
01634482101;"ст Озимая"
01634489101;"п Поспелихинский"
01634495101;"с Поспелиха"
01635407101;"с Белово"
01635412101;"с Боровлянка"
01635419101;"с Ворониха"
01635430101;"с Зеленая Роща"
01635436101;"с Зимино"
01635442101;"с Клочки"
01635456101;"с Паново"
01635458101;"п Плоскосеминский"
01635459101;"с Подстепное"
01635464101;"с Ребриха"
01635470101;"с Рожнев Лог"
01635476101;"ст Ребриха"
01635479101;"с Усть-Мосиха"
01636410101;"с Зелёный Луг"
01636422101;"с Каяушка"
01636428101;"с Кочки"
01636434101;"п Мирный"
01636445101;"с Покровка"
01636451101;"с Раздольное"
01636456101;"с Родино"
01636468101;"с Степное"
01636472101;"с Степной Кучук"
01636474101;"с Шаталовка"
01636480101;"с Центральное"
01636491101;"с Ярославцев Лог"
01637407101;"с Гилёв-Лог"
01637412101;"с Грановка"
01637417101;"с Гуселетово"
01637422101;"с Дубровино"
01637435101;"с Закладное"
01637440101;"с Казанцево"
01637446101;"п Майский"
01637457101;"с Мормыши"
01637466101;"п Рассвет"
01637468101;"с Романово"
01637479101;"с Сидоровка"
01637482101;"п Тамбовский"
01638406101;"с Безрукавка"
01638412101;"с Бобково"
01638415101;"с Большая Шелковка"
01638418101;"с Веселоярск"
01638420101;"с Вишнёвка"
01638422101;"п Дальний"
01638425101;"п Куйбышево"
01638437101;"с Новоалександровка"
01638440101;"с Новониколаевка"
01638444101;"п Новороссийский"
01638447101;"с Новосклюиха"
01638451101;"с Половинкино"
01638460101;"с Ракиты"
01638462101;"п Зелёная Дубрава"
01638465101;"с Самарка"
01638467101;"с Саратовка"
01638471101;"с Тишинка"
01640405101;"с Ануйское"
01640412101;"п Верх-Обский"
01640423101;"п Кировский"
01640434101;"п Линёвский"
01640445101;"с Новотырышкино"
01640456101;"с Смоленское"
01640460101;"с Солоновка"
01640466101;"с Сычёвка"
01640479101;"с Точильное"
01641404101;"с Александровка"
01641410101;"п Боронский"
01641413101;"с Верх-Суетка"
01641425101;"с Нижняя Суетка"
01642411101;"с Кокши"
01642415101;"с Колово"
01642420101;"с Красный Яр"
01642429101;"с Никольское"
01642435101;"с Платово"
01642440101;"с Половинка"
01642447101;"с Сетовка"
01642452101;"с Советское"
01642457101;"с Талица"
01642466101;"с Урожайное"
01642471101;"с Шульгин Лог"
01642472101;"с Шульгинка"
01643407101;"с Берёзовка"
01643423101;"с Карпово"
01643434101;"с Лютаево"
01643445101;"с Сибирячиха"
01643450101;"с Солонешное"
01643457101;"с Степное"
01643470101;"с Топольное"
01643481101;"с Туманово"
01644424101;"с Карабинка"
01644436101;"с Макарьевка"
01644447101;"с Ненинка"
01644450101;"с Нижняя Ненинка"
01644481101;"с Солтон"
01644492101;"с Сузоп"
01645410101;"с Верх-Кучук"
01645420101;"с Ильинка"
01645423101;"с Иня"
01645428101;"с Киприно"
01645430101;"с Крутишка"
01645433101;"с Кучук"
01645438101;"с Макарово"
01645442101;"с Новообинцево"
01645460101;"с Шелаболиха"
01646407101;"с Алтайское"
01646422101;"с Большеромановка"
01646440101;"с Лебедино"
01646455101;"с Сереброполь"
01646466101;"с Табуны"
01647151051;"рп Тальменка"
01647406101;"с Анисимово"
01647415101;"с Зайцево"
01647424101;"с Казанцево"
01647430101;"с Кашкарагаиха"
01647436101;"с Курочкино"
01647442101;"с Ларичиха"
01647448101;"с Луговое"
01647451101;"с Лушниково"
01647456101;"ст Озёрки"
01647459101;"с Новоперуново"
01647462101;"с Новотроицк"
01647466101;"с Озёрки"
01647470101;"с Речкуново"
01647473101;"п Среднесибирский"
01647475101;"с Староперуново"
01647482101;"с Шадринцево"
01647492101;"с Шишкино"
01648406101;"с Антипино"
01648430101;"с Новоиушино"
01648436101;"с Старый Тогул"
01648446101;"с Тогул"
01648457101;"с Топтушка"
01649403101;"с Белояровка"
01649407101;"с Володарка"
01649409101;"с Зимино"
01649412101;"п Кировский"
01649420101;"п Ключи"
01649424101;"с Красноярка"
01649436101;"с Макарьевка"
01649447101;"с Парфёново"
01649450101;"с Переясловка"
01649452101;"п Победим"
01649454101;"с Покровка"
01649460101;"с Сидоровка"
01649462101;"с Топчиха"
01649469101;"с Фунтики"
01649475101;"с Хабазино"
01649480101;"с Чаузово"
01649491101;"с Чистюнька"
01650411101;"с Екатерининское"
01650422101;"с Корболиха"
01650433101;"с Новоалейское"
01650444101;"с Первокаменка"
01650455101;"с Плоское"
01650460101;"п Садовый"
01650466101;"с Староалейское"
01650477101;"ст Третьяково"
01650488101;"с Шипуниха"
01651408101;"п Беловский"
01651410101;"с Боровлянка"
01651414101;"п Гордеевский"
01651425101;"с Краснояры"
01651430101;"с Заводское"
01651434101;"с Зелёная Поляна"
01651440101;"с Белое"
01651454101;"с Петровка"
01651457101;"с Троицкое"
01651470101;"с Хайрюзовка"
01651492101;"п Многоозёрный"
01652403101;"с Андроново"
01652407101;"с Берёзовка"
01652416101;"с Вылково"
01652420101;"с Грязново"
01652425101;"п Заводской"
01652432101;"с Ключи"
01652436101;"п Королёвский"
01652450101;"с Мезенцево"
01652452101;"п Карповский"
01652458101;"с Тюменцево"
01652461101;"с Урывки"
01652469101;"с Черемшанка"
01652480101;"с Шарчино"
01652485101;"с Юдиха"
01653411101;"с Круглое"
01653422101;"с Лаптев Лог"
01653455101;"с Озёрно-Кузнецово"
01653466101;"с Павловка"
01653477101;"с Симоново"
